first name,chinese, gender,pinyin
Jacquie,贾奇,f,jiǎ qí
Jade,贾德,f,jiǎ dé
Jake,杰克,m,jié kè
James,詹姆士,m,zhān mǔ shì
James,詹姆斯,m,zhān mǔ sī
Jamie,婕咪,f,jié mī
Jamie,杰米,f,jié mǐ
Jane,珍,f,zhēn
Jane,简,f,jiǎn
Janet,珍妮特,f,zhēn nī tè
Janice,珍尼丝,f,zhēn ní sī
Janice,詹妮丝,f,zhān nī sī
Janick,贾尼克,m,jiǎ ní kè
Janne,贾娜,m,jiǎ nà
Jared,杰瑞德,m,jié ruì dé
Jason,杰森,m,jié sēn
Jay,杰,m,jié
Jayson,杰森,m,jié sēn
Jean,琴,f,qín
Jeanette,珍妮特,f,zhēn nī tè
Jeanine,杰宁,f,jié níng
Jeannine,杰宁,f,jié níng
Jeff,杰夫,m,jié fū
Jefferson,杰斐逊,m,jié fěi xùn
Jeffrey,杰佛瑞,m,jié fú ruì
Jenna,珍娜,f,zhēn nà
Jennifer,珍尼佛,f,zhēn ní fú
Jennifer,珍尼弗,f,zhēn ní fú
Jenny,珍妮,f,zhēn nī
Jeremy,杰勒米,m,jié lēi mǐ
Jeremy,杰瑞米,m,jié ruì mǐ
Jerome,哲罗姆,m,zhé luō mǔ
Jerome,杰罗姆,m,jié luō mǔ
Jerrod,杰罗德,m,jié luō dé
Jerry,杰理,m,jié lǐ
Jerry,杰里,m,jié lǐ
Jeshua,约书亚,m,yuē shū yà
Jess,杰斯,m,jié sī
Jesse,杰西,m,jié xī
Jessica,杰西卡,f,jié xī kǎ
Jessica,杰西嘉,f,jié xī jiā
Jessie,婕西,f,jié xī
Jessie,杰西,m,jié xī
Jesus,耶稣,m,yé sū
Jill,姬儿,f,jī ér
Jill,吉尔,m,jí ěr
Jilly,吉利,m,jí lì
Jim,吉姆,m,jí mǔ
Jimi,吉米,m,jí mǐ
Jimmy,吉米,m,jí mǐ
Jinny,吉妮,f,jí nī
Jo,乔,f,qiáo
Jo,乔,m,qiáo
Joan,琼,f,qióng
Joanna,乔安娜,f,qiáo ān nà
Joanne,乔安,f,qiáo ān
Joanne,希伯来,f,xī bó lái
Jocelin,乔斯林,m,qiáo sī lín
Jocelyn,贾思琳,f,jiǎ sī lín
Jocelyn,乔斯林,m,qiáo sī lín
Jodie,乔蒂,f,qiáo dì
Jodie,朱迪,f,zhū dí
Joe,乔,m,qiáo
Joel,乔尔,m,qiáo ěr
Joey,乔伊,m,qiáo yī
Johan,约翰,m,yuē hàn
Johann,乔安,m,qiáo ān
Johanna,约翰娜,f,yuē hàn nà
John,约翰,m,yuē hàn
Johnny,强尼,m,qiáng ní
Jonas,乔纳斯,m,qiáo nà sī
Jonas,琼纳斯,m,qióng nà sī
Jonathan,乔纳森,m,qiáo nà sēn
Jonathan,强纳生,m,qiáng nà shēng
Jordan,乔丹,m,qiáo dān
Joris,乔里斯,m,qiáo lǐ sī
Joseph,约瑟夫,m,yuē sè fū
Josephine,约瑟芬,f,yuē sè fēn
Joshua,乔休尔,m,qiáo xiū ěr
Joshua,约书亚,m,yuē shū yà
Joss,乔斯,m,qiáo sī
Joy,乔伊,f,qiáo yī
Joyce,乔伊斯,f,qiáo yī sī
Joyce,乔艾斯,f,qiáo ài sī
Joyce,乔伊斯,m,qiáo yī sī
Judith,朱蒂斯,f,zhū dì sī
Judith,朱迪思,f,zhū dí sī
Judy,朱蒂,f,zhū dì
Julia,朱丽娅,f,zhū lì yà
Julia,朱莉娅,f,zhū lì yà
Julian,朱利安,m,zhū lì ān
Julie,朱丽,f,zhū lì
Julie,朱莉,f,zhū lì
Juliet,朱丽叶,f,zhū lì yè
Julius,朱利尔斯,m,zhū lì ěr sī
June,朱恩,f,zhū ēn
Junior,朱尼奥尔,m,zhū ní ào ěr
Justin,贾斯丁,m,jiǎ sī dīng
Justin,贾斯汀,m,jiǎ sī tīng
Justine,贾斯汀,f,jiǎ sī tīng
Kaden,卡登,m,kǎ dēng
Kaitlin,凯特琳,f,kǎi tè lín
Kama,卡玛,f,kǎ mǎ
Kara,卡拉,f,kǎ lā
Karen,凯伦,f,kǎi lún
Karen,凯琳,f,kǎi lín
Karianne,卡丽安,f,kǎ lì ān
Karina,卡莉娜,f,kǎ lì nà
Kassandra,卡桑德拉,f,kǎ sāng dé lā
Katalina,卡塔丽娜,f,kǎ tǎ lì nà
Kate,凯特,f,kǎi tè
Katherine,凯瑟琳,f,kǎi sè lín
Kathleen,凯瑟琳,f,kǎi sè lín
Katie,凯蒂,f,kǎi dì
Katrina,凯特琳娜,f,kǎi tè lín nà
Katy,凯蒂,f,kǎi dì
Kay,凯伊,f,kǎi yī
Kayla,凯拉,f,kǎi lā
Keegan,凯甘,m,kǎi gān
Keira,凯拉,f,kǎi lā
Keith,凯斯,m,kǎi sī
Keith,基斯,m,jī sī
Kelly,凯莉,f,kǎi lì
Kelly,凯利,m,kǎi lì
Kelly,凯莉盖,f,kǎi lì gài
Kelsey,凯尔塞,f,kǎi ěr sāi
Ken,肯恩,m,kěn ēn
Kennedy,甘乃迪,m,gān nǎi dí
Kenneth,肯尼士,m,kěn ní shì
Kenneth,肯尼斯,m,kěn ní sī
Kent,肯特,m,kěn tè
Kerr,科尔,m,kē ěr
Kerry,凯瑞,m,kǎi ruì
Kerry-Anne,凯莉安,f,kǎi lì ān
Kerwin,科尔温,m,kē ěr wēn
Kevin,凯文,m,kǎi wén
Kim,金姆,m,jīn mǔ
Kimberley,金伯利,f,jīn bó lì
Kimberley,金百莉,f,jīn bǎi lì
King,金,m,jīn
Kira,琦拉,f,qí lā
Kirk,科克,m,kē kè
Kitty,吉蒂,f,jí dì
Kristie,克莉斯蒂,f,kè lì sī dì
Kristin,克里斯廷,f,kè lǐ sī tíng
Kristina,克里斯蒂娜,f,kè lǐ sī dì nà
Kristine,克莉斯汀,f,kè lì sī tīng
Kristy,克里斯蒂,f,kè lǐ sī dì
Kurt,库尔特,m,kù ěr tè
Kyle,凯勒,m,kǎi lēi
Kyle,凯尔,m,kǎi ěr
Lambert,蓝伯特,m,lán bó tè
Lance,兰斯,m,lán sī
Lance,蓝斯,m,lán sī
Larry,劳瑞,m,láo ruì
Laura,劳拉,f,láo lā
Laurel,萝瑞尔,f,luó ruì ěr
Lauren,萝伦,f,luó lún
Laurene,劳伦,f,láo lún
Laurie,萝莉,f,luó lì
Lawrence,劳伦斯,m,láo lún sī
Layla,蕾拉,f,lěi lā
Lee,李,f,lǐ
Leif,列夫,m,liè fū
Leila,莉拉,f,lì lā
Len,伦恩,m,lún ēn
Lena,莉娜,f,lì nà
Lennon,蓝侬,m,lán nóng
Lenny,蓝尼,m,lán ní
Leo,利奥,m,lì ào
Leona,利昂娜,f,lì áng nà
Leona,莉安娜,f,lì ān nà
Leonard,伦纳德,m,lún nà dé
Leopold,利奥波德,m,lì ào bō dé
Les,勒斯,m,lēi sī
Lesley,雷思丽,f,léi sī lì
Leslie,莱丝莉,f,lái sī lì
Lester,里斯特,m,lǐ sī tè
Letitia,莉蒂西雅,f,lì dì xī yǎ
Levi,李维,m,lǐ wéi
Lewis,路易斯,m,lù yì sī
Liam,利亚姆,m,lì yà mǔ
Libby,莉碧,f,lì bì
Lila,莉拉,f,lì lā
Liliane,莉莉安,f,lì lì ān
Lilith,莉莉斯,f,lì lì sī
Lillian,丽莲,f,lì lián
Lilly,莉莉,f,lì lì
Lily-Rose,莉莉罗斯,f,lì lì luō sī
Lina,莉娜,f,lì nà
Linda,琳达,f,lín dá
Lindsay,林赛,f,lín sài
Lionel,赖昂内尔,m,lài áng nèi ěr
Lisa,丽莎,f,lì shā
Lisa,莉萨,f,lì sà
Lise,丽丝,f,lì sī
Liz,莉斯,f,lì sī
Lola,罗拉,f,luō lā
Lorene,劳伦,f,láo lún
Lorette,罗瑞德,f,luō ruì dé
Lorianne,劳丽安,f,láo lì ān
Lorraine,洛兰,f,luò lán
Lou,路,m,lù
Louie,路易,m,lù yì
Louis,路易士,m,lù yì shì
Louise,璐易丝,f,lù yì sī
Louise,路易丝,f,lù yì sī
Loyce,罗伊丝,f,luō yī sī
Lucas,卢卡斯,m,lú kǎ sī
Lucia,露茜娅,f,lù qiàn yà
Lucien,陆斯恩,m,lù sī ēn
Lucy,露西,f,lù xī
Luigi,路易吉,m,lù yì jí
Luke,卢克,m,lú kè
Luna,璐娜,f,lù nà
Luther,路德,m,lù dé
Lydia,莉蒂娅,f,lì dì yà
Lydia,莉迪亚,f,lì dí yà
Lyla,莉拉,f,lì lā
Lynda,琳达,f,lín dá
Lyndon,林顿,m,lín dùn
Lynette,丽奈特,f,lì nài tè
Lynn,琳,f,lín
Lynn,林,m,lín
Lynne,琳,f,lín
Lysa,丽莎,f,lì shā
Mabel,玛佩尔,f,mǎ pèi ěr
Madeleine,玛德琳,f,mǎ dé lín
Madeline,玛德琳,f,mǎ dé lín
Madge,玛琪,f,mǎ qí
Madison,麦迪逊,f,mài dí xùn
Mag,麦格,f,mài gé
Magdalena,玛格达雷娜,f,mǎ gé dá léi nà
Magee,麦基,m,mài jī
Maggie,玛吉,f,mǎ jí
Maggy,玛吉,f,mǎ jí
Malcolm,麦尔肯,m,mài ěr kěn
Malcolm,马尔科姆,m,mǎ ěr kē mǔ
Malorie,玛罗丽,f,mǎ luō lì
Mamie,梅蜜,f,méi mì
Mandel,曼德尔,m,màn dé ěr
Mandy,曼蒂,f,màn dì
Mani,玛妮,f,mǎ nī
Manuel,曼努埃尔,m,màn nǔ āi ěr
Marcia,玛西亚,f,mǎ xī yà
Marcus,马卡斯,m,mǎ kǎ sī
Marcus,马尔库斯,m,mǎ ěr kù sī
Margaret,玛格丽特,f,mǎ gé lì tè
Margareth,玛格蕾斯,f,mǎ gé lěi sī
Marguerite,玛格丽特,f,mǎ gé lì tè
Maria,玛丽亚,f,mǎ lì yà
Marian,玛丽安,f,mǎ lì ān
Marianna,玛丽安娜,f,mǎ lì ān nà
Marico,马里奥,m,mǎ lǐ ào
Marina,玛丽娜,f,mǎ lì nà
Marina,马丽娜,f,mǎ lì nà
Marisa,玛丽莎,f,mǎ lì shā
Marjorie,玛乔丽,f,mǎ qiáo lì
Mark,马克,m,mǎ kè
Marlene,玛琳,f,mǎ lín
Marlon,马伦,m,mǎ lún
Marsh,玛希,m,mǎ xī
Marshall,马歇尔,m,mǎ xiē ěr
Martha,玛莎,f,mǎ shā
Martha,马莎,f,mǎ shā
Martin,马丁,m,mǎ dīng
Martina,玛蒂娜,f,mǎ dì nà
Marvin,马文,m,mǎ wén
Mary,玛丽,f,mǎ lì
Mary-Lou,玛丽·璐,f,mǎ lì·lù
Maryanne,玛丽安,f,mǎ lì ān
Marylise,玛丽丽丝,f,mǎ lì lì sī
Maryse,马瑞赛,f,mǎ ruì sài
Mathis,玛希斯,f,mǎ xī sī
Mathis,玛希斯,m,mǎ xī sī
Matt,马特,m,mǎ tè
Matthew,马休,m,mǎ xiū
Matthew,马修,m,mǎ xiū
Maud,穆得,f,mù dé
Maud,茉德,f,mò dé
Maureen,穆琳,f,mù lín
Maurice,摩里斯,m,mó lǐ sī
Mavis,梅薇思,f,méi wēi sī
Max,马克斯,m,mǎ kè sī
Maximus,马克思姆斯,m,mǎ kè sī mǔ sī
Maxine,玛可欣,f,mǎ kě xīn
Maxwell,麦克斯韦,m,mài kè sī wéi
Maxwell,麦斯威尔,m,mài sī wēi ěr
May,梅,f,méi
Maya,玛雅,f,mǎ yǎ
Mayleen,梅琳,f,méi lín
Maylene,梅莲,f,méi lián
Meaghan,米甘,m,mǐ gān
Meg,梅格,f,méi gé
Megan,梅根,f,méi gēn
Melany,梅兰妮,f,méi lán nī
Melba,梅尔巴,f,méi ěr bā
Melinda,美莲达,f,měi lián dá
Melissa,蒙莉萨,f,méng lì sà
Melody,梅洛迪,f,méi luò dí
Melvin,梅尔文,m,méi ěr wén
Meredith,马勒第兹,m,mǎ lēi dì zī
Merle,莫尔,m,mò ěr
Merlin,莫林,m,mò lín
Meroy,玛希,f,mǎ xī
Merry,梅莉,f,méi lì
Meryl,梅丽尔,f,méi lì ěr
Mia,米娅,f,mǐ yà
Michael,麦克,m,mài kè
Michael,麦克尔,m,mài kè ěr
Michaela,米凯拉,f,mǐ kǎi lā
Michaelia,蜜雪莉雅,f,mì xuě lì yǎ
Michell,米契尔,m,mǐ qì ěr
Michelle,米歇尔,f,mǐ xiē ěr
Mick,密克,m,mì kè
Mickey,米基,m,mǐ jī
Mignon,蜜妮安,f,mì nī ān
Mike,麦克,m,mài kè
Mildred,穆得莉,f,mù dé lì
Milena,米蕾娜,f,mǐ lěi nà
Miles,麦尔斯,m,mài ěr sī
Milo,米路,m,mǐ lù
Mina,米娜,f,mǐ nà
Minna,米娜,f,mǐ nà
Mirabelle,蜜拉贝儿,f,mì lā bèi ér
Miranda,米兰达,f,mǐ lán dá
Miriam,蜜莉恩,f,mì lì ēn
Mitchell,米切尔,m,mǐ qiè ěr
Modesty,摩黛丝提,f,mó dài sī tí
Moira,茉伊拉,f,mò yī lā
Molly,茉莉,f,mò lì
Mona,梦娜,f,mèng nà
Mona,蒙娜,f,méng nà
Monica,莫妮卡,f,mò nī kǎ
Monroe,门罗,m,mén luō
Montague,曼特裘,m,màn tè qiú
Mony,莫尼,f,mò ní
Moore,莫尔,m,mò ěr
Moreen,莫琳,f,mò lín
Morgan,摩根,m,mó gēn
Morgan,摩尔根,m,mó ěr gēn
Morissette,莫里赛特,f,mò lǐ sài tè
Mortimer,摩帝马,m,mó dì mǎ
Morton,摩顿,m,mó dùn
Moses,摩西,m,mó xī
Muriel,穆丽儿,f,mù lì ér
Muriel,穆丽尔,f,mù lì ěr
Murphy,摩菲,m,mó fēi
Murray,莫雷,m,mò léi
Myra,玛拉,f,mǎ lā
Myriam,米里安,f,mǐ lǐ ān
Myrna,蜜尔娜,f,mì ěr nà
Myron,麦伦,m,mài lún
Nadia,娜迪娅,f,nà dí yà
Nadina,纳迪娜,f,nà dí nà
Nadine,娜丁,f,nà dīng
Nancy,南希,f,nán xī
Nancy,南茜,f,nán qiàn
Naomi,纳奥米,f,nà ào mǐ
Nat,纳特,m,nà tè
Natalie,娜塔莉,f,nà tǎ lì
Natalie,纳塔利,f,nà tǎ lì
Natasha,娜塔莎,f,nà tǎ shā
Nathan,内森,m,nèi sēn
Nathan,奈登,m,nài dēng
Nathaniel,奈宝尼尔,m,nài bǎo ní ěr
Natividad,娜提雅维达,f,nà tí yǎ wéi dá
Neil,尼尔,m,ní ěr
Nelly,内丽,f,nèi lì
Nelson,尼尔森,m,ní ěr sēn
Newman,纽曼,m,niǔ màn
Nicholas,尼克勒斯,m,ní kè lēi sī
Nick,尼克,m,ní kè
Nicola,妮可拉,f,nī kě lā
Nicolas,尼古拉斯,m,ní gǔ lā sī
Nicole,妮可,f,nī kě
Nicole,尼科尔,f,ní kē ěr
Nigel,奈哲尔,m,nài zhé ěr
Nikita,尼琦塔,f,ní qí tǎ
Nina,妮娜,f,nī nà
Nishta,妮什塔,f,nī shén tǎ
Noa,诺阿,f,nuò ā
Noah,诺亚,m,nuò yà
Noah,诺阿,m,nuò ā
Noel,诺尔,m,nuò ěr
Noelle,诺尔,f,nuò ěr
Nora,诺拉,f,nuò lā
Norah,诺拉,f,nuò lā
Nori,诺丽,f,nuò lì
Norma,诺玛,f,nuò mǎ
Norman,诺曼,m,nuò màn
Norton,诺顿,m,nuò dùn
Novia,诺维雅,f,nuò wéi yǎ
Nydia,妮蒂亚,f,nī dì yà
Octavia,奥克塔薇尔,f,ào kè tǎ wēi ěr
Odelette,奥蒂列特,f,ào dì liè tè
Odelia,奥蒂莉亚,f,ào dì lì yà
Ogden,欧格登,m,ōu gé dēng
Olga,欧尔佳,f,ōu ěr jiā
Olive,奥丽芙,f,ào lì fú
Olive,奥利维,f,ào lì wéi
Oliver,奥利佛,m,ào lì fú
Oliver,奥利弗,m,ào lì fú
Olivia,奥丽薇亚,f,ào lì wēi yà
Olivia,奥利维亚,f,ào lì wéi yà
Omar,奥玛,m,ào mǎ
Ophelia,奥菲莉亚,f,ào fēi lì yà
Ophelia,欧菲丽娅,f,ōu fēi lì yà
Orville,奥利尔,m,ào lì ěr
Osborn,奥斯本,m,ào sī běn
Oscar,奥斯卡,m,ào sī kǎ
Oswald,奥斯维得,m,ào sī wéi dé
Otis,奥狄斯,m,ào dí sī
Otto,奥特,m,ào tè
Owen,欧恩,m,ōu ēn
Owen,欧文,m,ōu wén
Paddy,培迪,m,péi dí
Pag,佩格,f,pèi gé
Page,蓓姬,f,bèi jī
Page,裴吉,m,péi jí
Pam,帕姆,f,pà mǔ
Pamela,帕梅拉,f,pà méi lā
Pamela,帕米拉,f,pà mǐ lā
Pandora,潘多拉,f,pān duō lā
Parker,帕克,m,pà kè
Parker,派克,m,pài kè
Patrice,帕特里斯,m,pà tè lǐ sī
Patricia,帕特里夏,f,pà tè lǐ xià
Patricia,派翠西亚,f,pài cuì xī yà
Patrick,派翠克,m,pài cuì kè
Patris,帕特里斯,m,pà tè lǐ sī
Patsy,帕特茜,f,pà tè qiàn
Paul,保罗,m,bǎo luō
Paula,宝拉,f,bǎo lā
Paula,赛拉,f,sài lā
Pauline,宝林,f,bǎo lín
Payne,派恩,m,pài ēn
Pear,芘尔,f,pí ěr
Pearl,佩儿,f,pèi ér
Pearl,珍珠,f,zhēn zhū
Pedro,佩德罗,m,pèi dé luō
Peggy,佩吉,f,pèi jí
Penelope,佩内洛普,f,pèi nèi luò pǔ
Penny,佩妮,f,pèi nī
Penny,潘妮,f,pān nī
Perry,佩瑞,m,pèi ruì
Perry,斐瑞,m,fěi ruì
Pete,皮特,m,pí tè
Peter,彼得,m,bǐ dé
Phil,菲尔,m,fēi ěr
Philip,菲力浦,m,fēi lì pǔ
Philippe,菲力浦,m,fēi lì pǔ
Phillipe,菲力浦,m,fēi lì pǔ
Phoebe,菲碧,f,fēi bì
Phoenix,菲妮克丝,f,fēi nī kè sī
Phoenix,菲尼克斯,f,fēi ní kè sī
Phoenix,菲尼克斯,m,fēi ní kè sī
Phyllis,菲丽丝,f,fēi lì sī
Pierce,皮尔斯,m,pí ěr sī
Polly,珀莉,f,pò lì
Poppy,波比,f,bō bǐ
Porter,波特,m,bō tè
Prima,普莉玛,f,pǔ lì mǎ
Primo,普利莫,m,pǔ lì mò
Priscilla,普里西拉,f,pǔ lǐ xī lā
Prudence,普鲁登丝,f,pǔ lǔ dēng sī
Prudence,普鲁登斯,f,pǔ lǔ dēng sī
Queena,昆娜,f,kūn nà
Quentin,昆汀,m,kūn tīng
Quentin,昆特,m,kūn tè
Quincy,昆西,m,kūn xī
Quinn,昆,m,kūn
Quintina,昆蒂娜,f,kūn dì nà
Quintion,昆顿,m,kūn dùn
Rachael,蕾切尔,f,lěi qiè ěr
Rachel,瑞琪儿,f,ruì qí ér
Rachel,蕾切尔,f,lěi qiè ěr
Rachel,雷契尔,m,léi qì ěr
Rae,瑞伊,f,ruì yī
Rafael,拉斐尔,m,lā fěi ěr
Ralap,雷尔夫,m,léi ěr fū
Ralph,拉尔夫,m,lā ěr fū
Ramon,拉蒙,m,lā méng
Randall,兰道尔,m,lán dào ěr
Randolph,蓝道夫,m,lán dào fū
Randy,兰迪,m,lán dí
Ray,雷,m,léi
Raymond,雷蒙德,m,léi méng dé
Rayner,雷纳,m,léi nà
Rebecca,丽蓓卡,f,lì bèi kǎ
Rebecca,丽贝卡,f,lì bèi kǎ
Rebeckah,丽贝卡,f,lì bèi kǎ
Rebekka,丽贝卡,f,lì bèi kǎ
Reed,列得,m,liè dé
Reg,雷哲,m,léi zhé
Regan,雷根,m,léi gēn
Regina,蕾佳娜,f,lěi jiā nà
Regina,蕾吉娜,f,lěi jí nà
Reginald,雷吉诺德,m,léi jí nuò dé
Reidar,瑞达,m,ruì dá
Rejane,蕾珍,f,lěi zhēn
Renan,勒南,m,lēi nán
Renata,蕾娜塔,f,lěi nà tǎ
Renee,蕾妮,f,lěi nī
Rene,勒内,m,lēi nèi
Reuben,鲁宾,m,lǔ bīn
Rex,雷克斯,m,léi kè sī
Reynald,雷纳尔德,m,léi nà ěr dé
Rhianne,莉安,f,lì ān
Rhys,莱斯,m,lái sī
Richard,理查,m,lǐ chá
Richie,里奇,m,lǐ qí
Rick,里克,m,lǐ kè
Ricky,瑞奇,m,ruì qí
Rico,利筘,m,lì kòu
Riley,莱利,m,lái lì
Ringo,林戈,m,lín gē
Rita,莉塔,f,lì tǎ
Rita,莉达,f,lì dá
Riva,莉娃,f,lì wá
Roan,罗安,m,luō ān
Robbie,罗比,m,luō bǐ
Robert,罗伯特,m,luō bó tè
Roberta,罗伯塔,f,luō bó tǎ
Roberto,罗伯托,m,luō bó tuō
Robin,罗宾,m,luō bīn
Robinson,罗宾逊,m,luō bīn xùn
Robyn,罗宾,m,luō bīn
Roch,洛克,m,luò kè
Rock,洛克,m,luò kè
Rod,罗德,m,luō dé
Roderick,罗得里克,m,luō dé lǐ kè
Rodney,罗德尼,m,luō dé ní
Roger,罗杰,m,luō jié
Roland,罗兰,m,luō lán
Roman,罗曼,m,luō màn
Romeo,罗密欧,m,luō mì ōu
Romy,罗密,f,luō mì
Ron,罗恩,m,luō ēn
Ronald,罗纳德,m,luō nà dé
Ronald,罗奈尔得,m,luō nài ěr dé
Ronan,罗南,m,luō nán
Ronnie,罗尼,m,luō ní
Ronny,罗尼,m,luō ní
Rory,罗里,m,luō lǐ
Rosa,萝莎,f,luó shā
Rosalind,罗莎琳德,f,luō shā lín dé
Rose,罗丝,f,luō sī
Rose,罗斯,f,luō sī
Roselyn,罗丝雷恩,f,luō sī léi ēn
Rosemary,鲁思玛丽,f,lǔ sī mǎ lì
Rosie,萝西,f,luó xī
Ross,罗斯,m,luō sī
Rosy,萝西,f,luó xī
Roxana,罗克莎娜,f,luō kè shā nà
Roxanne,罗克珊,f,luō kè shān
Roy,罗一,m,luō yī
Roy,罗伊,m,luō yī
Ruby,露比,f,lù bǐ
Rudolf,鲁道夫,m,lǔ dào fū
Rudy,鲁迪,m,lǔ dí
Rupert,鲁伯特,m,lǔ bó tè
Ruth,露丝,f,lù sī
Ruth,鲁思,f,lǔ sī
Ryan,莱安,m,lái ān
Ryan,里安,m,lǐ ān
Sabina,莎碧娜,f,shā bì nà
Sabine,萨宾,f,sà bīn
Sabrina,莎柏琳娜,f,shā bǎi lín nà
Sabrina,萨布丽娜,f,sà bù lì nà
Sadie,萨蒂,f,sà dì
Sally,莎莉,f,shā lì
Salomay,莎乐美,f,shā lè měi
Salome,莎洛姆,f,shā luò mǔ
Sam,山姆,m,shān mǔ
Samantha,莎曼撤,f,shā màn chè
Sampson,辛普森,m,xīn pǔ sēn
Samuel,撒姆尔,m,sā mǔ ěr
Samuel,萨谬尔,m,sà miù ěr
Sandra,桑德拉,f,sāng dé lā
Sandra,珊多拉,f,shān duō lā
Sandy,仙蒂,f,xiān dì
Sandy,桑迪,f,sāng dí
Sandy,山迪,m,shān dí
Sanny,萨妮,f,sà nī
Sara,莎拉,f,shā lā
Sarah,莎拉,f,shā lā
Sarah,赛拉,f,sài lā
Satina,萨蒂娜,f,sà dì nà
Savannah,萨凡纳,f,sà fán nà
Saxon,撒克逊,m,sā kè xùn
Scarlett,斯嘉丽,f,sī jiā lì
Scott,史考特,m,shǐ kǎo tè
Scott,斯考特,m,sī kǎo tè
Sean,肖恩,m,xiào ēn
Sebastian,希巴斯汀,m,xī bā sī tīng
Sebastian,赛巴斯蒂安,m,sài bā sī dì ān
Sebastiane,莎芭丝提妮,f,shā bā sī tí nī
Selena,塞蕾娜,f,sāi lěi nà
Selena,萨琳娜,f,sà lín nà
Seleste,西莱斯特,f,xī lái sī tè
Serena,塞雷娜,f,sāi léi nà
Sergio,塞尔吉奥,m,sāi ěr jí ào
Setlla,丝特勒,f,sī tè lēi
Shaleen,沙琳,f,shā lín
Shana,莎娜,f,shā nà
Shanie,沙妮,f,shā nī
Shannen,莎侬,f,shā nóng
Shannon,莎侬,f,shā nóng
Sharon,沙伦,f,shā lún
Sharon,雪伦,f,xuě lún
Shary,莎莉,f,shā lì
Shatoya,赛图雅,f,sài tú yǎ
Shauna,邵娜,f,shào nà
Shawn,肖恩,f,xiào ēn
Sheena,茜娜,f,qiàn nà
Sheila,希拉,f,xī lā
Sheila,晒垃,f,shài lā
Shelby,谢尔碧,f,xiè ěr bì
Shelley,谢莉,f,xiè lì
Shelly,雪莱,f,xuě lái
Sherry,雪莉,f,xuě lì
Shiela,希拉,f,xī lā
Shirila,什丽拉,f,shén lì lā
Shirley,雪莉,f,xuě lì
Sibyl,希贝儿,f,xī bèi ér
Sid,锡德,m,xī dé
Sidney,锡得尼,m,xī dé ní
Sigrid,西格莉德,f,xī gé lì dé
Silvana,茜尔瓦娜,f,qiàn ěr wǎ nà
Simon,赛门,m,sài mén
Simona,席梦娜,f,xí mèng nà
Simone,茜蒙,f,qiàn méng
Sloane,斯隆,f,sī lóng
Smith,史密斯,m,shǐ mì sī
Sofia,索菲娅,f,suǒ fēi yà
Solenne,苏莲,f,sū lián
Solomon,所罗门,m,suǒ luō mén
Sonia,索尼娅,f,suǒ ní yà
Sonja,宋雅,f,sòng yǎ
Sonny,索尼,m,suǒ ní
Sophia,苏菲亚,f,sū fēi yà
Sophia,苏菲娅,f,sū fēi yà
Spencer,史宾杜,m,shǐ bīn dù
Spring,丝柏凌,f,sī bǎi líng
Stacey,斯泰西,f,sī tài xī
Stacey,斯黛茜,f,sī dài qiàn
Stan,史丹,m,shǐ dān
Stanford,史丹佛,m,shǐ dān fú
Stanley,史丹尼,m,shǐ dān ní
Stefan,斯特凡,m,sī tè fán
Stefany,斯蒂芬妮,f,sī dì fēn nī
Stella,斯特拉,f,sī tè lā
Stephanie,丝特芬妮,f,sī tè fēn nī
Stephany,斯蒂芬妮,f,sī dì fēn nī
Stephen,斯蒂芬,m,sī dì fēn
Steven,史帝文,m,shǐ dì wén
Steven,史蒂文,m,shǐ dì wén
Stevie,史蒂夫,m,shǐ dì fū
Steward,史都华德,m,shǐ dōu huá dé
Stewart,斯图尔特,m,sī tú ěr tè
Susan,苏珊,f,sū shān
Susanna,苏珊娜,f,sū shān nà
Susie,苏西,f,sū xī
Suzanne,苏珊,f,sū shān
Suzel,苏塞,f,sū sāi
Suzie,苏西,f,sū xī
Sybelle,希贝,f,xī bèi
Sylvia,西尔维娅,f,xī ěr wéi yà
Sylvie,西尔维,f,xī ěr wéi
Tab,塔伯,m,tǎ bó
Tabatha,塔芭塔,f,tǎ bā tǎ
Tabitha,泰贝莎,f,tài bèi shā
Tamara,塔玛拉,f,tǎ mǎ lā
Tammy,塔米,f,tǎ mǐ
Tammy,泰蜜,f,tài mì
Tania,塔尼娅,f,tǎ ní yà
Tara,泰拉,f,tài lā
Tatiana,塔提安娜,f,tǎ tí ān nà
Taylor,泰勒,m,tài lēi
Ted,泰德,m,tài dé
Teresa,泰瑞莎,f,tài ruì shā
Ternence,泰伦斯,m,tài lún sī
Terri,泰瑞,m,tài ruì
Tess,泰丝,f,tài sī
Thalia,塔莉娅,f,tǎ lì yà
Theobald,希尔保特,m,xī ěr bǎo tè
Theodore,西奥多,m,xī ào duō
Theodore,希欧多尔,m,xī ōu duō ěr
Thera,席拉,f,xí lā
Theresa,泰莉萨,f,tài lì sà
Thomas,汤玛士,m,tāng mǎ shì
Tia,缇娅,f,tí yà
Tiffany,蒂凡妮,f,dì fán nī
Tiffany,蒂法尼,f,dì fǎ ní
Tiffany,帝福尼,m,dì fú ní
Tim,堤姆,m,dī mǔ
Timothy,蒂莫西,m,dì mò xī
Tina,蒂娜,f,dì nà
Tobey,托比,f,tuō bǐ
Toby,托比,m,tuō bǐ
Tod,托德,m,tuō dé
Todd,陶德,m,táo dé
